file,title,type,domain,audience,use_case,tone,length,keywords,source,status,content
03-LinkedIn/LinkedIn-About-Primary.md,LinkedIn-About-Primary,linkedin-about,ai-governance,recruiters,linkedin-about,professional,long,,provided-input,approved,"AI governance and enterprise IT professional with 23 years of experience supporting healthcare, government, logistics, PBM, retail, hospitality, and managed services environments.

Microsoft Certified: Azure AI Fundamentals (AI-900) with hands-on experience designing human-in-the-loop AI operating models, governance frameworks, Microsoft 365 automation solutions, and enterprise knowledge systems.

I specialize in identifying operational problems, defining governance and business requirements, and directing AI-assisted systems to accelerate implementation, documentation, workflow development, and organizational knowledge capture.

I don’t use AI to replace human judgment. I use AI to amplify human capability through governance, orchestration, knowledge management, and human-directed execution.

Creator of PAIOS (Personal AI Operating System) and AI Neural Governance v1.0, frameworks developed to explore scalable AI adoption through governance, accountability, human oversight, and operational control.

Core areas of focus include:

- AI governance
- Human-in-the-loop AI systems
- Microsoft 365 automation
- Workflow orchestration
- Knowledge management
- Technical documentation
- Enterprise IT operations"
03-LinkedIn/LinkedIn-About-Technical.md,LinkedIn-About-Technical,linkedin-about,ai-systems,technical-audience,linkedin-about,technical,medium,,provided-input,approved,"I design and direct human-in-the-loop AI operating models that coordinate AI systems, knowledge sources, and automation workflows under governance controls.

My background combines 23 years of enterprise IT experience with applied work in AI governance, Microsoft 365 automation, technical documentation, workflow development, and operational problem solving.

I remain responsible for architecture, requirements, governance, validation, and final outcomes while AI serves as a force multiplier for implementation, documentation, analysis, and research."
04-Cover-Letters/Cover-Letter-AI-Governance-Microsoft-365.md,Cover-Letter-AI-Governance-Microsoft-365,cover-letter,ai-governance,hiring-manager,cover-letter,formal,long,,provided-input,approved,"[Your Name]
[City, State]
[Phone]
[Email]
[Date]

Hiring Manager
[Company Name]
[Company Address]

Dear Hiring Manager,

I am applying for the [Job Title] role. I bring 23 years of enterprise IT experience across healthcare, government, logistics, PBM, retail, hospitality, and managed services, along with hands-on experience in AI governance, human-in-the-loop AI operating models, Microsoft 365 automation, and enterprise knowledge systems.

My work sits at the intersection of operational problem solving, governance, and execution. I identify business and operational needs, define requirements and control structures, and direct AI-assisted systems to accelerate implementation, documentation, workflow development, and knowledge capture without removing human accountability.

I am Microsoft Certified in Azure AI Fundamentals (AI-900) and the creator of PAIOS (Personal AI Operating System) and AI Neural Governance v1.0. These frameworks were developed to explore governed AI adoption through human oversight, accountability, workflow orchestration, and operational control. This work reflects how I approach AI in practice: not as a replacement for judgment, but as a force multiplier for structured, governed execution.

In addition to my AI governance work, I bring a broad enterprise IT foundation that includes Microsoft 365, Azure, SharePoint, Power Platform, ServiceNow, endpoint support, infrastructure troubleshooting, and technical documentation. That combination allows me to connect strategy, governance, and implementation in a way that is practical for real operating environments.

I would welcome the opportunity to contribute that perspective to [Company Name]. Thank you for your time and consideration.

Sincerely,
[Your Name]"
05-Project-Descriptions/Schema-Reference.md,Schema-Reference,schema-reference,obsidian,self,frontmatter-schema,instructional,medium,,provided-input,approved,"# Obsidian Frontmatter Schema Reference

Use this schema for content notes in the pack to improve retrieval, vectorization, and reusability.

Example fields:

- `type`: branding-snippet, resume-summary, interview-answer, cover-letter, keyword-pack, atomic-note
- `domain`: ai-governance, enterprise-it, personal-branding, project-description, obsidian
- `use_case`: linkedin-about, resume-summary, interview-answer, cover-letter, keyword-list, portfolio-intro, github-intro
- `audience`: recruiters, hiring-managers, portfolio-viewers, self
- `tone`: professional, executive, technical, concise, confident, factual
- `length`: short, medium, long
- `keywords`: list of tags
- `source`: personal-branding
- `status`: approved, draft"
06-Interview-Answers/Interview-Answer-Did-You-Build-It.md,Interview-Answer-Did-You-Build-It,interview-answer,ai-governance,hiring-managers,interview-answer,confident,short,,provided-input,approved,"Yes. I designed the architecture, defined the operating model, established governance requirements, directed development, validated outputs, and determined what was accepted into the system. AI assisted with implementation, but the vision, requirements, governance, and final accountability remained with me."
07-Scenario-Specific/Scenario-GitHub-Intro-PAIOS.md,Scenario-GitHub-Intro-PAIOS,scenario-specific,github,portfolio-viewers,github-intro,professional,medium,,provided-input,approved,"PAIOS is a human-directed AI operating framework that coordinates AI systems, knowledge repositories, and automation workflows under a unified governance model. The objective is not automation without oversight. The objective is governed execution with a human remaining accountable for decisions and outcomes."
07-Scenario-Specific/Scenario-Interview-Intro.md,Scenario-Interview-Intro,scenario-specific,interview,hiring-managers,interview-intro,confident,medium,,provided-input,approved,"My work focuses on identifying operational problems, defining governance and business requirements, and directing AI-assisted systems to accelerate execution. I use AI as a force multiplier, but I keep architecture, governance, validation, and final accountability human-owned."
07-Scenario-Specific/Scenario-LinkedIn-Headline.md,Scenario-LinkedIn-Headline,scenario-specific,linkedin,recruiters,linkedin-headline,concise,short,,provided-input,approved,AI Governance | Human-in-the-Loop AI Systems | Microsoft 365 Automation | Enterprise IT Operations
07-Scenario-Specific/Scenario-Portfolio-Intro.md,Scenario-Portfolio-Intro,scenario-specific,portfolio,recruiters,portfolio-intro,professional,medium,,provided-input,approved,"I design human-in-the-loop AI operating models that combine governance, knowledge systems, and workflow orchestration to solve operational problems while keeping accountability and decision quality under human control."
07-Scenario-Specific/Scenario-Resume-Summary.md,Scenario-Resume-Summary,scenario-specific,resume,recruiters,resume-summary,professional,medium,,provided-input,approved,"AI governance and enterprise IT professional with 23 years of experience supporting healthcare, government, logistics, PBM, retail, hospitality, and managed services environments.

Microsoft Certified: Azure AI Fundamentals (AI-900) with hands-on experience designing human-in-the-loop AI operating models, governance frameworks, Microsoft 365 automation solutions, and enterprise knowledge systems.

I specialize in identifying operational problems, defining governance and business requirements, and directing AI-assisted systems to accelerate implementation, documentation, workflow development, and organizational knowledge capture.

Creator of PAIOS (Personal AI Operating System) and AI Neural Governance v1.0, frameworks developed to explore scalable AI adoption through governance, accountability, human oversight, and operational control."
08-Keyword-Packs/Keyword-Pack-AI-Governance-Copilot.md,Keyword-Pack-AI-Governance-Copilot,keyword-pack,ai-governance,recruiters,keyword-list,precise,short,,provided-input,approved,"AI governance
Human-in-the-loop AI
Microsoft 365 Copilot
Microsoft 365 automation
Power Platform
SharePoint
Microsoft Graph API
Governance frameworks
Operational controls
Workflow orchestration
Knowledge management
Prompt engineering
AI operating models"
08-Keyword-Packs/Keyword-Pack-AI-Systems-Workflow.md,Keyword-Pack-AI-Systems-Workflow,keyword-pack,ai-systems,recruiters,keyword-list,precise,short,,provided-input,approved,"AI systems
AI orchestration
Workflow automation
Knowledge systems
Multi-agent systems
Governance controls
Documentation systems
Operational design
Human oversight
AI-assisted execution
Process design
Automation architecture"
08-Keyword-Packs/Keyword-Pack-Enterprise-IT.md,Keyword-Pack-Enterprise-IT,keyword-pack,enterprise-it,recruiters,keyword-list,precise,short,,provided-input,approved,"Enterprise IT operations
Technical support
Endpoint management
ServiceNow
Incident resolution
Escalation management
Technical documentation
Process improvement
Infrastructure support
Queue management
Help desk operations
Cross-functional support"
09-Atomic-Notes/AI-Certification.md,AI-Certification,atomic-note,certification,recruiters,certification,factual,short,,provided-input,approved,Microsoft Certified: Azure AI Fundamentals (AI-900).
09-Atomic-Notes/AI-Neural-Governance-v1.md,AI-Neural-Governance-v1,atomic-note,governance-framework,recruiters,framework-summary,descriptive,short,,provided-input,approved,"AI Neural Governance v1.0 is a governance framework for AI-enabled Microsoft 365 environments focused on request classification, approval workflows, accountability, human oversight, and operational controls."
09-Atomic-Notes/Core-Positioning.md,Core-Positioning,atomic-note,personal-branding,recruiters,core-identity,factual,short,,provided-input,approved,"AI governance and enterprise IT professional with 23 years of experience supporting healthcare, government, logistics, PBM, retail, hospitality, and managed services environments."
09-Atomic-Notes/Human-AI-Collaboration-Philosophy.md,Human-AI-Collaboration-Philosophy,atomic-note,personal-branding,recruiters,philosophy,philosophical,short,,provided-input,approved,"I don’t use AI to replace human judgment. I use AI to amplify human capability through governance, orchestration, knowledge management, and human-directed execution."
09-Atomic-Notes/Human-Responsibility-Model.md,Human-Responsibility-Model,atomic-note,personal-branding,recruiters,responsibility-model,factual,short,,provided-input,approved,"I remain responsible for vision, architecture, requirements, governance, validation, and final outcomes. AI assists with implementation, documentation, analysis, workflow generation, research, and content creation."
09-Atomic-Notes/One-Sentence-Value-Statement.md,One-Sentence-Value-Statement,atomic-note,personal-branding,recruiters,value-statement,succinct,short,,provided-input,approved,"I design human-in-the-loop AI operating models where governance, accountability, and operational control remain human-owned while AI accelerates execution."
09-Atomic-Notes/PAIOS-Long-Description.md,PAIOS-Long-Description,atomic-note,project-description,recruiters,project-summary,descriptive,medium,,provided-input,approved,"I designed and directed development of PAIOS (Personal AI Operating System), a human-in-the-loop AI operating framework that coordinates AI systems, knowledge sources, and automation workflows under governance controls to accelerate documentation, workflow design, governance modeling, and knowledge management."
09-Atomic-Notes/PAIOS-Short-Description.md,PAIOS-Short-Description,atomic-note,project-description,recruiters,project-summary,concise,short,,provided-input,approved,"PAIOS is a human-in-the-loop AI operating framework designed to coordinate AI systems, knowledge sources, and automation workflows under governance controls."
09-Atomic-Notes/Specialization-Statement.md,Specialization-Statement,atomic-note,personal-branding,recruiters,specialization,factual,short,,provided-input,approved,"I specialize in identifying operational problems, defining governance and business requirements, and directing AI-assisted systems to accelerate implementation, documentation, workflow development, and organizational knowledge capture."
